idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
748,3,0.6416355503603997,0.73617482660742,1.2952136734039605,4.388595595934691,3.2208747605581043,0,0,0,260,0.0,1
26,7,0.8875793370289354,0.5468446076276222,4.339292344822612,2.056113861552894,0.9539619588919105,1,1,1,290,0.0,1
833,12,0.8334992720603005,0.7369151685747478,5.1629622265746535,5.122365125963891,1.7496308092647113,1,0,0,230,0.0,1
801,12,0.6614876709530104,0.6380949836834306,4.264424878699902,2.5855326061399886,4.684211985120658,1,0,1,220,0.0,1
675,3,0.3915802717507233,0.8605024528432403,5.138798145460652,5.064828387118299,3.1869532776302796,0,0,0,210,0.0014,6
806,10,1.0549950359187517,0.27184478874940965,4.124180897532145,3.400228336464477,5.254440819439344,0,0,0,280,0.0,1
688,6,0.8877920808311556,0.5247693827360995,4.704363319152175,3.8079534751282758,2.2152651939957755,0,0,0,230,0.0,2
705,12,0.5234604677478626,1.1604223136593423,3.926509593087887,4.757260496415646,4.2330620892215665,0,0,1,280,0.0,1
736,5,0.685341285946728,0.8871252859311822,5.302550046461651,2.6533044479846826,4.4419331879149535,0,0,0,250,0.0,2
592,6,0.8645171992591013,0.5854722975564484,5.003708113137762,4.989786366202234,3.5176483212451974,1,0,0,260,0.0,1
587,1,0.642314328544366,0.5066893389629833,3.3791641036562092,1.7799756455516826,4.037615384359398,1,0,1,270,0.0,1
176,6,0.9958928792324683,0.7067863959095941,0.9447001374899677,5.866890290385062,4.672636610636689,1,0,0,270,0.0,1
796,3,0.9154531153455653,0.4640049716562795,3.749016873594251,1.394058519183682,2.3812236404040035,0,0,1,210,0.0,2
667,2,0.49590816299811136,0.9057986404800905,3.808511121066561,1.7681349670947382,2.1261402180011384,0,0,0,230,0.0,1
898,9,1.10332734319069,0.9529021763647417,4.731690116336507,4.674033458624956,3.80538291726461,0,0,0,290,0.0018,6
258,9,0.44842517121240977,0.7326768777262705,1.5292738518382698,1.9001812348929763,3.152355033407465,0,0,0,280,0.0,1
804,2,0.8392698547884049,0.6947961967853803,5.194241045889428,4.063035355537833,0.8326544102668453,0,1,0,240,0.0,1
626,8,1.0249901609603713,0.7574845657006843,3.43051309836472,0.574113278123216,1.932972697502558,0,0,0,230,0.0,1
229,7,0.9060160268109025,0.524496624858397,1.5804100497115248,5.651101127602473,5.833365024276641,0,1,0,270,0.0,3
568,5,0.8967164477738135,1.0145574842458982,3.541659009392459,5.693225503776931,3.134966667929529,1,0,0,300,0.0,4
977,11,0.8817413304107874,0.7282732458003408,2.1610732179254315,2.907813255203942,2.2656472452538337,1,1,1,270,0.0,2
47,6,0.5799669837311991,1.0837877009565715,5.0343299739534935,4.994075578138242,3.4701863830262676,0,1,0,290,0.0,1
238,11,0.9715708604305631,0.4480247203565867,3.201289095376164,1.2743663322662941,5.247638789284371,1,0,0,260,0.0,1
346,7,0.637418866446899,0.4143055732846147,2.090052398554607,1.8215720287652923,2.4967162808696326,0,0,0,260,0.0026,6
228,2,0.9177288022127263,0.9338735622510125,5.018346123085228,1.780399515945593,3.168601893392822,1,0,0,200,0.0,1
949,7,0.2582159025209649,0.9289964715045014,5.825531716029493,3.769137146699731,5.1512290313959985,1,0,0,210,0.0,4
997,7,0.4539773173278942,1.068228281076711,3.3463373737841424,2.4432011504080435,3.05462425083057,1,0,0,200,0.0,5
745,10,0.5535627008310581,0.8027584236433387,2.923310414682975,2.015783589988247,1.2622011748913073,1,0,1,270,0.0,4
